"","CPSID","county","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FSSTMPVALC","female","hispanic","black","kids","elderly","education","married","FSSTMPVALC_bin","FSSTMPVALC_bin_char"
"1","20210901992200","0",6864.3274,1,70,0,0,0,NA,NA,0,70,NA,1,0,0,0,0,1,0,0,"No"
"2","20210901993200","0",4958.1366,1,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,1,1,0,0,"No"
"3","20210901995000","0",4080.6917,1,80,0,0,0,NA,NA,0,80,NA,1,0,0,0,1,1,0,0,"No"
"4","20210901996400","0",5693.449,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,"No"
"5","20210901996900","0",5913.0065,4,100,0,0,0,NA,NA,0,400,NA,2,4,0,1,0,0,2,0,"No"
"6","20210901997700","0",4540.2188,3,76.6666666666667,0,0,0,0,0,0,230,NA,1,0,0,1,0,2,2,0,"No"
"7","20210901997900","0",4185.558,5,46,0,0,0,0,0,0,230,500,2,5,0,2,0,0,2,1,"Yes"
"8","20210901998900","0",6483.8846,1,150,0,0,0,NA,NA,0,150,NA,1,0,0,0,0,1,0,0,"No"
"9","20210901999400","0",5693.449,1,50,1,0,1,1,1,1,50,NA,1,0,1,0,1,1,0,0,"No"
"10","20210902001200","0",5306.7634,4,52.5,0,0,0,NA,NA,0,210,NA,1,0,1,2,0,2,2,0,"No"
"11","20210902001600","0",4622.4099,2,100,1,1,1,1,1,1,200,NA,1,0,0,0,1,2,2,0,"No"
"12","20210902002700","0",5306.7634,1,220,0,0,0,1,0,0,220,NA,1,0,0,0,0,1,0,0,"No"
"13","20210902006800","0",7342.8613,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,"No"
"14","20210902008500","0",4544.3432,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,"No"
"15","20210902009800","0",7822.1214,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,"No"
"16","20210902011500","0",4958.1366,1,50,NA,NA,1,NA,NA,NA,50,NA,0,0,1,0,1,0,0,0,"No"
"17","20210902013200","0",4942.464,1,100,0,0,1,0,0,0,100,NA,1,0,0,0,0,0,0,0,"No"
"18","20210902014000","0",4738.4179,1,90,0,0,0,NA,NA,0,90,NA,0,0,0,0,1,1,0,0,"No"
"19","20210902014800","0",5552.1754,6,21.6666666666667,0,0,0,NA,NA,0,130,NA,3,0,0,1,1,4,4,0,"No"
"20","20210902017600","0",4740.8008,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,0,0,0,1,1,0,"No"
"21","20210902019900","0",11110.8108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,"No"
"22","20210902021300","0",5056.0988,6,0,0,0,0,0,0,0,0,NA,4,6,0,3,0,0,2,0,"No"
"23","20210902025100","0",5328.0273,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,0,0,1,2,0,"No"
"24","20210902025700","0",5253.3578,1,100,0,0,0,NA,NA,0,100,NA,1,1,0,0,0,1,0,0,"No"
"25","20210902027100","0",4958.1366,1,190,0,0,0,NA,NA,0,190,NA,0,0,1,0,1,0,0,0,"No"
"26","20210902027400","0",4870.9417,1,100,0,0,0,NA,NA,0,100,NA,0,0,0,0,0,1,1,0,"No"
"27","20210902029200","0",4817.3906,4,0,0,0,0,1,0,0,0,NA,2,4,0,0,2,0,2,0,"No"
"28","20210902034500","0",4496.6192,5,74,0,0,0,NA,NA,0,370,NA,1,0,0,0,3,3,2,0,"No"
"29","20210902036100","0",4942.464,4,80,0,0,0,NA,NA,0,320,NA,3,0,0,3,0,0,0,0,"No"
"30","20210902042000","17119",5356.3425,3,80,0,1,1,0,1,0,240,NA,1,0,0,0,0,1,0,0,"No"
"31","20210902042300","17163",3948.9319,1,140,0,0,0,NA,NA,0,140,NA,0,0,0,0,1,1,0,0,"No"
"32","20210902048100","0",6405.7493,3,40,0,0,0,NA,NA,0,120,NA,3,0,3,0,0,1,0,0,"No"
"33","20210902048500","0",4213.6827,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0,2,0,0,4,0,"No"
"34","20210902050900","0",3950.9177,4,57.5,0,0,1,0,0,0,230,NA,2,4,0,2,1,1,2,0,"No"
"35","20210902055400","0",5212.8277,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,2,0,"No"
"36","20210902056500","17111",4607.2905,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,2,0,"No"
"37","20210902057100","0",3747.4202,1,90,0,0,1,0,0,0,90,NA,1,0,0,0,1,1,0,0,"No"
"38","20210902057400","17111",4014.7466,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,2,0,2,0,"No"
"39","20210902058300","17179",3688.2456,2,95,0,0,0,NA,NA,0,190,NA,1,0,0,0,2,2,2,0,"No"
"40","20210902058700","0",4607.2905,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,2,0,"No"
"41","20210902058800","0",4556.5168,2,40,0,0,1,0,0,0,80,NA,2,2,0,0,0,1,0,0,"No"
"42","20210902059400","0",3623.7058,2,200,0,0,0,NA,NA,0,400,NA,1,0,0,0,2,1,2,0,"No"
"43","20210902060400","0",3838.0944,2,50,0,0,0,0,0,0,100,NA,1,0,0,0,1,2,2,0,"No"
"44","20210902061300","0",4213.803,1,80,0,0,1,0,0,0,80,NA,0,1,0,0,1,0,0,0,"No"
"45","20210902063600","0",3623.7058,1,140,0,0,0,NA,NA,0,140,NA,1,0,0,0,1,1,0,0,"No"
"46","20210902063700","17163",4980.5222,2,140,0,0,0,NA,NA,0,280,NA,1,0,0,0,0,1,0,0,"No"
"47","20210902064400","17163",5364.4035,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,2,0,"No"
"48","20210902065700","17097",4957.205,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,2,2,0,"No"
"49","20210902066700","0",4212.2908,5,40,0,0,1,1,0,1,200,NA,1,5,0,2,0,0,2,0,"No"
"50","20210902069400","0",3886.5753,1,80,1,0,1,1,1,1,80,NA,0,0,0,0,1,1,0,0,"No"
"51","20210902072200","0",3747.4202,4,50,0,0,0,NA,NA,0,200,NA,2,0,0,1,2,2,2,0,"No"
"52","20210902074300","0",4957.205,2,225,0,0,0,NA,NA,0,450,NA,1,0,0,0,0,1,2,0,"No"
"53","20210902075500","17097",5212.8277,4,67.5,0,0,0,NA,NA,0,270,NA,2,0,0,2,0,2,2,0,"No"
"54","20210902076300","0",4422.5831,4,97.5,0,0,0,NA,NA,0,390,NA,2,0,0,2,0,1,2,0,"No"
"55","20210902081600","0",4629.3054,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,2,2,0,"No"
